Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
43,P,Cody Martin,26,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Mayckol Guaipe,25,5,0,,,,,,,,,,,,,,,,,,,,,,
45,P,Tom Wilhelmsen,32,29,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Drew Storen#,28,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Donn Roach,26,4,0,,,,,,,,,,,,,,,,,,,,,,
48,P,Pat Venditte*,31,7,0,,,,,,,,,,,,,,,,,,,,,,
49,P,Jonathan Aro,25,1,0,,,,,,,,,,,,,,,,,,,,,,
50,P,Arquimedes Caminero,29,18,0,,,,,,,,,,,,,,,,,,,,,,
51,P,Blake Parker,31,1,0,,,,,,,,,,,,,,,,,,,,,,
52,P,Taijuan Walker,23,25,0,,,,,,,,,,,,,,,,,,,,,,
53,P,Joaquin Benoit,38,26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
54,P,Evan Scribner,30,12,0,,,,,,,,,,,,,,,,,,,,,,
,,Team Totals,30.6,162,6227,5583,768,1446,251,17,223,735,56,28,506,1288,.259,.326,.430,.756,106,2400,138,72,24,41,29
,,Rank in 15 AL teams,,,,3,3,4,14,14,2,,12,6,6,9,7,5,5,5,,4,,1,,6,
,,Non-Pitcher Totals,30.6,162,6202,5562,767,1445,251,17,223,735,56,28,505,1280,.260,.327,.431,.759,107,2399,138,72,21,41,29
,,Pitcher Totals,26.6,162,25,21,1,1,0,0,0,0,0,0,1,8,.048,.091,.048,.139,-60,1,0,0,3,0,0
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB

* - bats left-handed, # - bats both, else - bats right, ? - unknown; OPS_lg for OPS+ does not include pitchers
